theme|tier|word|hint
history|1|RAILWAY AGE|Tracks and locomotives transformed nineteenth-century travel
history|1|TELEGRAPH|Electrical signals carried messages over long distances
history|1|UNITED NATIONS|A global organisation formed after the Second World War
history|1|EUROPEAN UNION|Neighbouring countries cooperate through shared institutions
history|1|SOVIET UNION|A socialist state existed from 1922 to 1991
history|1|EARLY FARMING|People began growing crops and keeping animals
history|1|CAVE PAINTING|Prehistoric people drew animals on stone walls
history|1|CRUSADES|Medieval religious campaigns travelled towards the eastern Mediterranean
history|2|HUNDRED YEARS WAR|England and France fought a long medieval conflict
history|1|REFORMATION|A religious movement divided western Christianity
history|1|NAPOLEONIC WARS|French-led armies fought changing European coalitions
history|2|ENLIGHTENMENT|Thinkers promoted reason, science and individual liberty
history|2|ABSOLUTE MONARCHY|A ruler holds power with few legal limits
general|1|PHONE NUMBER|A sequence of digits connects callers to one subscriber
general|1|PASSENGER TICKET|A document confirms payment for a journey
general|1|TRAIN TIMETABLE|A chart lists railway departures and arrivals
general|1|BAGGAGE BELT|A moving surface delivers suitcases at an airport
general|1|WAITING ROOM|Passengers sit here before departure
general|1|HOTEL ROOM|A private space provides temporary accommodation
general|1|FRONT DOOR|People pass through it to enter a home
general|1|RUBBISH BIN|A container holds everyday waste
general|1|PLAYGROUND|An outdoor area has swings, slides and climbing frames
general|1|FOOTPATH|A narrow route is intended for walkers
general|1|PARKING SPACE|A marked place holds one vehicle
general|1|SHOPPING BASKET|Customers carry selected goods in it
general|1|PRICE TAG|A small label displays an item's cost
general|1|SALES RECEIPT|A printed document proves payment for goods
general|1|BANK CARD|A plastic or virtual method pays from an account
general|1|CASH PAYMENT|Notes and coins settle a purchase
general|1|SMALL CHANGE|A low-value amount is returned after a purchase
general|1|PRODUCT LABEL|Printed information identifies ingredients and details
general|1|INSTRUCTION MANUAL|A guide explains setup and correct use
general|1|SUPPORT SERVICE|A team helps customers solve problems
general|1|FEEDBACK FORM|Customers use it to share comments about a service
general|1|PERSONAL DATA|Information can identify a specific individual
general|1|SECURE PASSWORD|A secret combination protects access from strangers
general|1|VERIFICATION CODE|Temporary digits confirm a user's action
general|1|SYSTEM UPDATE|A new version fixes errors and improves a device
general|1|SCREEN SETTINGS|Options change brightness, text size or colours
general|1|HOME ADDRESS|It identifies a resident's town, street and building
general|1|BIRTHPLACE|The town or location where someone was born
general|1|MARITAL STATUS|It records whether someone is legally married
general|1|DAY OFF|A person rests instead of doing regular work
general|1|PUBLIC HOLIDAY|A special date brings national celebration or rest
general|1|HOMEWORK|A pupil completes this after lessons
general|1|CLASSWORK|A pupil completes this during a lesson
general|1|SCHOOL DIARY|A pupil records lessons, tasks and marks here
general|1|SCHOOL TIMETABLE|A table shows the order of lessons
general|1|FINAL GRADE|A result summarises achievement for a term or year
general|1|FINAL EXAM|The last major assessment completes a course
general|1|STUDENT CARD|A document proves enrolment at a college or university
general|1|LIBRARY CARD|A document allows someone to borrow books
general|1|CONTENTS PAGE|A list gives sections and their locations in a book
film_music|1|MAIN CHARACTER|The central person drives the story
film_music|1|STORYLINE|A connected sequence of events forms the narrative
film_music|1|OPENING SCENE|The first moments introduce the setting and people
film_music|1|FINAL SCENE|The last moments complete the narrative
film_music|1|CHASE SCENE|Characters pursue one another at high speed
film_music|1|BATTLE SCENE|Characters take part in a large fight
film_music|1|ROMANTIC STORYLINE|A relationship develops throughout the narrative
film_music|1|OPENING CREDITS|Creators' names appear before the main action
film_music|1|CLOSING CREDITS|Creators' names appear after the narrative ends
film_music|1|MUSICAL THEME|A memorable melody is linked to a work or person
film_music|1|CAST|All performers appearing in one production
film_music|1|FILM CREW|The team creates a movie behind the camera
film_music|1|MEDIUM SHOT|A person is usually framed roughly from the waist up
film_music|1|LONG SHOT|People appear together with much of their surroundings
film_music|1|SHOT CHANGE|One camera image gives way to the next
film_music|1|FILM EDITING|Selected images are arranged into a finished sequence
film_music|1|MONOCHROME FILM|The picture uses shades of grey without colour
film_music|1|SILENT FILM|A movie has no recorded spoken dialogue
film_music|1|MUSICAL NOTATION|A system of symbols records melody and rhythm
film_music|1|TREBLE CLEF|A symbol at the start of a stave sets higher pitches
film_music|1|BASS CLEF|A symbol at the start of a stave sets lower pitches
film_music|1|WHOLE NOTE|This symbol normally lasts four beats
film_music|1|HALF NOTE|This symbol normally lasts two beats
film_music|1|QUARTER NOTE|This symbol normally lasts one beat
film_music|1|EIGHTH NOTE|Two of these symbols normally fit into one beat
film_music|1|MUSICAL REST|A written symbol marks a period of silence
film_music|1|PITCH|This quality makes a tone sound high or low
film_music|1|MUSICAL RHYTHM|Patterns of duration organise a piece through time
film_music|1|FAST TEMPO|A piece is performed quickly and energetically
film_music|1|SLOW TEMPO|A piece is performed calmly and unhurriedly
film_music|1|MAJOR KEY|This tonal pattern often sounds bright and settled
film_music|1|MINOR KEY|This tonal pattern often sounds sad or tense
film_music|1|MUSICAL SCALE|Pitches are ordered step by step from low to high
film_music|1|CHORAL SINGING|A large group performs a piece using voices
film_music|1|FOLK SONG|A traditional piece passes between generations
film_music|1|LULLABY|A gentle tune helps a baby fall asleep
film_music|1|DANCE MUSIC|A strong beat encourages people to move
film_music|1|STRING ORCHESTRA|An ensemble mainly uses violins, violas and cellos
film_music|1|WIND ORCHESTRA|An ensemble mainly uses instruments played by blowing
film_music|1|WIND INSTRUMENT|A player blows air to create the tone
