theme|tier|word|hint
sport|2|ЛЫЖНАЯ МАЗЬ|Состав наносят на скользящую поверхность инвентаря
sport|2|КОНЬКОВЫЙ ХОД|Способ движения напоминает работу ног фигуриста
sport|2|КЛАССИЧЕСКИЙ ХОД|Лыжник движется по двум параллельным следам
sport|2|ОГНЕВОЙ РУБЕЖ|Место стрельбы во время биатлона
sport|1|ШВЕДСКАЯ СТЕНКА|Домашний гимнастический снаряд с перекладинами
sport|2|ОПОРНЫЙ ПРЫЖОК|Гимнаст преодолевает снаряд, отталкиваясь руками
sport|1|БОКСЕРСКАЯ ГРУША|Подвесной мешок для тренировки кулаков
sport|2|СУДЕЙСКИЙ СЧЕТ|Баллы арбитров определяют победителя поединка
sport|1|УГОЛ РИНГА|Место отдыха бойца между раундами
sport|1|ШАХМАТНАЯ ДОСКА|Квадратная поверхность из шестидесяти четырёх клеток
sport|1|БЕЛЫЕ ФИГУРЫ|Комплект, который делает первый ход
sport|1|ЧЕРНЫЕ ФИГУРЫ|Комплект, отвечающий на начальный ход соперника
sport|2|КОНЕВАЯ ВИЛКА|Одна шахматная единица одновременно атакует две цели
sport|2|ДВОЙНОЙ ШАХ|Король атакован сразу двумя единицами
sport|2|МАТОВАЯ УГРОЗА|Опасность завершения партии следующим ходом
sport|1|ФИНАЛЬНЫЙ СВИСТОК|Сигнал арбитра завершает встречу
geography|1|КРАСНАЯ ПЛОЩАДЬ|Главное московское пространство у Кремля
geography|1|ЗОЛОТОЕ КОЛЬЦО|Туристический маршрут через древние российские города
geography|1|ЧЕРНОЕ МОРЕ|Водоём между Россией, Турцией и Кавказом
geography|1|БЕЛОЕ МОРЕ|Северный водоём у берегов Карелии
geography|1|БАРЕНЦЕВО МОРЕ|Арктический водоём севернее Норвегии и России
geography|1|КАСПИЙСКОЕ МОРЕ|Крупнейший замкнутый водоём Земли
geography|2|ОХОТСКОЕ МОРЕ|Тихоокеанский водоём между Камчаткой и материком
geography|1|ЯПОНСКОЕ МОРЕ|Тихоокеанский водоём отделяет материк от архипелага
geography|1|АЗОВСКОЕ МОРЕ|Мелководный водоём соединён с Чёрным
geography|1|БЕРИНГОВ ПРОЛИВ|Узкий водный путь между Чукоткой и Аляской
geography|1|ФИНСКИЙ ЗАЛИВ|Восточный выступ Балтики рядом с Петербургом
geography|1|ОЗЕРО БАЙКАЛ|Глубочайший пресный водоём планеты
geography|1|РЕКА ВОЛГА|Крупнейшая европейская водная артерия впадает в Каспий
geography|1|РЕКА ЕНИСЕЙ|Сибирская водная артерия достигает Северного океана
geography|1|РЕКА ЛЕНА|Сибирская водная артерия образует огромную дельту
geography|1|РЕКА АМУР|Водная граница России и Китая на Дальнем Востоке
geography|1|УРАЛЬСКИЕ ГОРЫ|Природная граница между Европой и Азией
geography|1|КАВКАЗСКИЕ ГОРЫ|Хребты между Чёрным и Каспийским водоёмами
geography|2|АЛТАЙСКИЕ ГОРЫ|Высокая система на стыке четырёх государств
geography|2|ПОЛУОСТРОВ КАМЧАТКА|Дальневосточная земля России со множеством вулканов
geography|1|ОСТРОВ САХАЛИН|Крупная российская земля севернее Японии
geography|1|КРЫМСКИЙ ПОЛУОСТРОВ|Земля на севере Чёрного водоёма с узким перешейком
geography|1|ГОРА ЭЛЬБРУС|Высочайшая вершина России и Европы
geography|1|ГОРА ЭВЕРЕСТ|Высочайшая вершина всей планеты
geography|1|РЕКА НИЛ|Знаменитая африканская водная артерия проходит через Египет
geography|1|РЕКА ТЕМЗА|Водная артерия проходит через Лондон
geography|1|РЕКА СЕНА|Водная артерия проходит через Париж
geography|1|РЕКА РЕЙН|Крупная европейская водная артерия проходит через Германию
geography|1|РЕКА МИССИСИПИ|Главная водная артерия центральной части США
geography|1|АРГЕНТИНА|Южноамериканская страна со столицей Буэнос-Айрес
geography|1|ИНДИЯ|Южноазиатская страна со столицей Нью-Дели
geography|1|КИТАЙ|Восточноазиатская страна со столицей Пекин
geography|1|АВСТРАЛИЯ|Страна занимает целый материк
geography|1|АФРИКА|Второй по площади материк планеты
geography|1|ЕВРАЗИЯ|Крупнейший материк объединяет две части света
geography|1|АЗИЯ|Крупнейшая часть света по площади и населению
geography|1|СЕВЕРНАЯ АМЕРИКА|Материк включает Канаду, США и Мексику
geography|1|ЮЖНАЯ АМЕРИКА|Материк известен Амазонкой и Андами
geography|1|ТИХИЙ ОКЕАН|Крупнейший водоём нашей планеты
geography|1|ИНДИЙСКИЙ ОКЕАН|Тёплый водоём между Африкой, Азией и Австралией
nature|1|ДОМАШНЯЯ КОШКА|Популярный питомец мурлычет и ловит мышей
nature|1|ДОМАШНЯЯ СОБАКА|Верный питомец охраняет жильё и гуляет с хозяином
nature|1|БЕЛЫЙ МЕДВЕДЬ|Крупный хищник Арктики с густой светлой шерстью
nature|1|СЕРЫЙ ВОЛК|Стайный хищник, похожий на крупную собаку
nature|1|РЫЖАЯ ЛИСА|Лесной хищник с пушистым хвостом
nature|2|ЕВРОПЕЙСКИЙ ЗАЯЦ|Быстрое ушастое животное живёт на полях
nature|1|ЛЕСНАЯ БЕЛКА|Рыжий зверёк прыгает по веткам и запасает орехи
nature|1|АФРИКАНСКИЙ СЛОН|Крупнейшее сухопутное животное с хоботом
nature|2|БЕЛЫЙ НОСОРОГ|Крупное травоядное с двумя рогами на морде
nature|1|БЕЛЫЙ АИСТ|Крупная перелётная птица часто строит гнёзда на крышах
nature|2|СЕРЫЙ ЖУРАВЛЬ|Высокая птица с длинными ногами и шеей
nature|1|ДОМОВЫЙ ВОРОБЕЙ|Маленькая городская птица живёт рядом с человеком
nature|1|БОЛЬШАЯ СИНИЦА|Небольшая птица с жёлтой грудкой
nature|1|ОЗЕРНАЯ ЧАЙКА|Шумная водная птица с тёмной головой летом
nature|1|РЕЧНАЯ УТКА|Водоплавающая птица часто встречается в городских парках
nature|1|БЕЛАЯ БЕРЕЗА|Дерево легко узнать по светлой коре
nature|2|ОБЫКНОВЕННАЯ СОСНА|Хвойное дерево с длинными иголками и шишками
nature|1|ГОЛУБАЯ ЕЛЬ|Хвойное дерево с серебристо-синими иголками
nature|1|ЛЕСНОЙ ДУБ|Мощное дерево даёт жёлуди
nature|1|ПЛАКУЧАЯ ИВА|Дерево у воды опускает длинные ветви
nature|2|КОНСКИЙ КАШТАН|Городское дерево даёт колючие коробочки с плодами
nature|1|ПОЛЕВАЯ РОМАШКА|Цветок с белыми лепестками и жёлтой серединой
nature|1|САДОВАЯ РОЗА|Колючий куст выращивают ради ароматных цветов
nature|1|ЛЕСНАЯ ЗЕМЛЯНИКА|Мелкая красная ягода растёт на солнечных полянах
nature|1|ЧЕРНАЯ СМОРОДИНА|Тёмная кисло-сладкая ягода растёт кистями
nature|1|КРАСНАЯ СМОРОДИНА|Яркая кислая ягода растёт прозрачными кистями
nature|1|ДИКАЯ МАЛИНА|Колючий куст даёт ароматные красные ягоды
nature|1|БЕЛЫЙ ГРИБ|Ценная съедобная находка с толстой ножкой
nature|1|МУХОМОР КРАСНЫЙ|Ядовитая лесная находка с пятнистой шляпкой
nature|2|ОПЕНОК ОСЕННИЙ|Съедобные грибы растут группами на пнях
nature|1|СМЕНА ВРЕМЕН|Весна, лето, осень и зима следуют друг за другом
nature|1|ПЕРЕЛЕТНАЯ ПТИЦА|Осенью улетает в тёплые края, весной возвращается
nature|1|ХИЩНОЕ ЖИВОТНОЕ|Охотится на других обитателей природы
nature|1|НОЧНОЕ ЖИВОТНОЕ|Активно после заката и отдыхает днём
nature|1|ДНЕВНОЕ ЖИВОТНОЕ|Активно при солнечном свете и спит ночью
nature|2|ВЕСЕННЯЯ ЛИНЬКА|После зимы шерсть или перья обновляются
nature|1|ПОТОМСТВО|Детёныши одной пары или особи
nature|2|ГНЕЗДОВАНИЕ|Птицы строят жилище и выращивают птенцов
nature|1|ПРОРАСТАНИЕ|Из семени появляется молодой побег
nature|1|ЦВЕТЕНИЕ|На растениях раскрываются бутоны
technics|1|МИКРОВОЛНОВАЯ ПЕЧЬ|Кухонный прибор быстро разогревает еду
technics|1|ХОЛОДИЛЬНАЯ КАМЕРА|Прохладное отделение сохраняет продукты свежими
technics|1|МОРОЗИЛЬНАЯ КАМЕРА|Отделение с минусовой температурой хранит продукты долго
technics|1|КУХОННАЯ ВЫТЯЖКА|Прибор над плитой удаляет запахи и пар
technics|2|ТЕПЛОВЕНТИЛЯТОР|Прибор прогоняет воздух через нагреватель
technics|1|ГАЗОВАЯ ПЛИТА|Кухонный прибор готовит пищу на открытом пламени
technics|1|СВЕТОДИОДНАЯ ЛАМПА|Экономный источник освещения почти не нагревается
technics|1|ПРОВОД|Металлическая жила переносит электричество
technics|1|АККУМУЛЯТОР|Многоразовый источник энергии можно заряжать
technics|1|ЭЛЕКТРИЧЕСКАЯ ЦЕПЬ|Соединённые элементы создают замкнутый путь для заряда
technics|2|ПОСТОЯННЫЙ ТОК|Заряд движется всё время в одном направлении
technics|2|ПЕРЕМЕННЫЙ ТОК|Направление движения заряда регулярно меняется
technics|1|КОРОТКОЕ ЗАМЫКАНИЕ|Нежелательное соединение вызывает резкий рост силы заряда
technics|1|МЕДНЫЙ ПРОВОД|Красноватая металлическая жила хорошо переносит электричество
technics|2|ПЕЧАТНАЯ ПЛАТА|Основа с дорожками соединяет электронные детали
technics|1|МИКРОСХЕМА|Маленькая электронная деталь выполняет множество операций
technics|2|РЕЗИСТОР|Электронная деталь ограничивает движение заряда
technics|2|КОНДЕНСАТОР|Электронная деталь временно накапливает заряд
technics|1|ДИОД|Электронная деталь пропускает заряд только в одну сторону
technics|1|СВЕТОДИОД|Маленькая электронная деталь испускает сияние при прохождении заряда
technics|2|ЭЛЕКТРОДВИГАТЕЛЬ|Устройство превращает энергию заряда во вращение
technics|2|ЗУБЧАТАЯ ПЕРЕДАЧА|Колёса с выступами передают вращение между валами
technics|2|РЕМЕННАЯ ПЕРЕДАЧА|Гибкая лента связывает два вращающихся колеса
technics|2|ЦЕПНАЯ ПЕРЕДАЧА|Металлические звенья связывают две зубчатые детали
technics|1|ПОРШЕНЬ|Подвижная деталь ходит внутри цилиндра двигателя
technics|1|ЦИЛИНДР|Полая деталь направляет движение поршня
technics|2|КОЛЕНЧАТЫЙ ВАЛ|Деталь двигателя превращает движение поршней во вращение
technics|1|РУЛЕВОЕ КОЛЕСО|Водитель поворачивает его для изменения направления машины
technics|1|ТОРМОЗНАЯ ПЕДАЛЬ|Нажатие ногой замедляет автомобиль
technics|1|РУЧНОЙ ТОРМОЗ|Механизм удерживает стоящий автомобиль на месте
technics|1|РЕМЕНЬ БЕЗОПАСНОСТИ|Лента удерживает пассажира при резкой остановке
technics|1|ДОРОЖНЫЙ ЗНАК|Табличка сообщает водителю правило или предупреждение
technics|1|СВЕТОФОР|Красный, жёлтый и зелёный регулируют движение
technics|1|УЧЕТНАЯ ЗАПИСЬ|Личный профиль хранит настройки пользователя
technics|1|ПОИСКОВАЯ СТРОКА|Поле для ввода запроса на сайте
technics|1|ЭЛЕКТРОННАЯ ПОЧТА|Служба передаёт письма через интернет
technics|1|ЦИФРОВАЯ КАМЕРА|Устройство сохраняет фотографии на карту памяти
technics|1|ЖЕСТКИЙ ДИСК|Устройство постоянно хранит файлы компьютера
technics|2|СИСТЕМНАЯ ПЛАТА|Главная основа соединяет детали компьютера
technics|1|ФАЙЛОВАЯ СИСТЕМА|Правила организуют папки и документы на накопителе
people|1|НАЧАЛЬНЫЙ УЧИТЕЛЬ|Обучает младших школьников чтению, письму и счёту
people|1|УЧИТЕЛЬ ФИЗИКИ|Объясняет школьникам силы, энергию и движение
people|1|УЧИТЕЛЬ ИСТОРИИ|Рассказывает школьникам о событиях прошлого
people|1|УЧИТЕЛЬ БИОЛОГИИ|Объясняет школьникам устройство живых организмов
people|1|ШКОЛЬНЫЙ ДИРЕКТОР|Руководит работой учебного заведения
people|1|ДЕТСКИЙ ВРАЧ|Лечит маленьких пациентов поликлиники
people|1|СЕМЕЙНЫЙ ВРАЧ|Наблюдает здоровье взрослых и детей одной семьи
people|1|ЗУБНОЙ ВРАЧ|Лечит кариес и устанавливает пломбы
people|1|МЕДИЦИНСКАЯ СЕСТРА|Помогает доктору и ухаживает за пациентами
people|1|МЕДИЦИНСКИЙ БРАТ|Помогает доктору и выполняет лечебные процедуры
people|1|БУХГАЛТЕР|Ведёт финансовые документы организации
people|1|ЭКОНОМИСТ|Анализирует расходы, доходы и развитие хозяйства
people|2|КОРРЕКТОР|Исправляет опечатки перед публикацией текста
people|1|КАПИТАН СУДНА|Управляет кораблём и отвечает за экипаж
people|1|ПРОВОДНИК ПОЕЗДА|Проверяет билеты и помогает пассажирам в вагоне
people|2|ИСПЫТАТЕЛЬ|Проверяет новую технику в сложных условиях
people|1|МУЗЕЙНЫЙ СМОТРИТЕЛЬ|Следит за экспонатами и порядком в зале
people|1|ШКОЛЬНЫЙ ПСИХОЛОГ|Помогает ученикам справляться с переживаниями
people|1|ДЕТСКИЙ ВОСПИТАТЕЛЬ|Занимается с дошкольниками в группе
people|1|РУКОВОДИТЕЛЬ ОТДЕЛА|Организует работу команды внутри компании
people|2|НАУЧНЫЙ СОТРУДНИК|Проводит исследования в институте или лаборатории
people|2|ЯЗЫКОВЕД|Изучает речь, её строение и развитие
people|1|МУЗЫКАНТ|Играет на инструменте или исполняет песни
people|1|ЗВУКООПЕРАТОР|Записывает и регулирует слышимое сопровождение
people|1|УЧАСТКОВЫЙ ВРАЧ|Принимает жителей определённого района
people|1|ВРАЧ-ТЕРАПЕВТ|Лечит распространённые заболевания взрослых
people|1|ВРАЧ-ХИРУРГ|Проводит сложные операции пациентам
people|1|ГЛАЗНОЙ ВРАЧ|Проверяет зрение и лечит заболевания органов зрения
people|2|СУДЕБНЫЙ ЭКСПЕРТ|Исследует улики и готовит заключение для суда
people|1|ДОРОЖНЫЙ ИНСПЕКТОР|Следит за соблюдением правил движения
people|2|СУДЕБНЫЙ ПРИСТАВ|Исполняет решения суда и взыскивает долги
people|2|НАЛОГОВЫЙ ИНСПЕКТОР|Проверяет правильность обязательных платежей
people|1|ТЕЛЕВЕДУЩИЙ|Обращается к зрителям и представляет программу
people|1|ИЗДАТЕЛЬ|Организует выпуск книг, журналов или газет
people|1|АВТОМЕХАНИК|Диагностирует и ремонтирует автомобили
people|2|АВТОЭЛЕКТРИК|Ремонтирует проводку и приборы автомобиля
people|1|СТОЛЯР|Изготавливает точные изделия из древесины
people|1|КАМЕНЩИК|Возводит стены из кирпича или блоков
people|1|ТРАКТОРИСТ|Управляет мощной сельскохозяйственной машиной
people|2|АВИАДИСПЕТЧЕР|Направляет движение самолётов с земли
food|1|ОВСЯНАЯ КАША|Горячее блюдо из хлопьев часто едят на завтрак
food|1|МАННАЯ КАША|Молочное блюдо готовят из мелкой пшеничной крупы
food|1|КАПУСТНЫЙ САЛАТ|Хрустящее холодное блюдо из нашинкованных листьев
food|1|СВЕКОЛЬНЫЙ САЛАТ|Холодное блюдо получает яркий бордовый цвет
food|1|ОВОЩНОЙ БУЛЬОН|Прозрачную основу варят из моркови, лука и зелени
food|1|ГОРОХОВЫЙ СУП|Густое первое блюдо из сушёных бобов
food|1|КУРИНЫЙ СУП|Первое блюдо готовят на бульоне из птицы
food|1|ЗАПЕКАНКА|Смешанные продукты готовят в форме внутри духовки
food|1|ПИРОЖОК|Небольшое изделие из теста скрывает начинку
food|2|КУЛЕБЯКА|Закрытая русская выпечка обычно имеет сложную начинку
food|1|МЕДОВИК|Слоёный десерт с ароматными коржами и кремом
food|1|ПЕЧЕНЬЕ|Небольшая сладкая выпечка к чаю
food|1|СУШКА|Маленькое сухое колечко из теста
food|1|БАРАНКА|Круглая выпечка с отверстием посередине
food|1|РЖАНАЯ МУКА|Тёмный порошок для хлеба получают из злака
food|1|ПШЕНИЧНАЯ МУКА|Светлый порошок служит основой большинства выпечки
food|1|ПОДСОЛНЕЧНОЕ МАСЛО|Растительный жир получают из семян жёлтого цветка
food|1|СЛИВОЧНОЕ МАСЛО|Молочный жир намазывают на хлеб
food|1|ТВОРОГ|Зернистый молочный продукт богат белком
food|1|СМЕТАНА|Густой кисломолочный продукт добавляют в борщ
food|2|РЯЖЕНКА|Кисломолочный напиток делают из топлёного молока
food|2|ПРОСТОКВАША|Кисломолочный напиток получается естественным сквашиванием
food|1|КВАШЕНАЯ КАПУСТА|Нашинкованные листья сохраняют солью и брожением
food|1|СОЛЕНЫЙ ОГУРЕЦ|Зелёный овощ выдерживают в рассоле
food|1|ЯБЛОЧНОЕ ВАРЕНЬЕ|Сладкую заготовку варят из осенних плодов
food|1|КЛУБНИЧНОЕ ВАРЕНЬЕ|Сладкая красная заготовка пахнет летними ягодами
food|1|МАЛИНОВОЕ ВАРЕНЬЕ|Сладкую ягодную заготовку часто подают при простуде
food|1|ФРУКТОВЫЙ КОМПОТ|Сладкий напиток варят из свежих или сушёных плодов
food|1|ЯГОДНЫЙ МОРС|Прохладный напиток готовят из сока и воды
food|1|ЖАРЕНЫЙ КАРТОФЕЛЬ|Ломтики готовят на сковороде до золотистой корочки
food|1|ОТВАРНОЙ РИС|Белую крупу готовят в кипящей воде
food|1|ГРЕЧНЕВАЯ КРУПА|Коричневые зёрна становятся рассыпчатым гарниром
food|1|ПШЕНИЧНЫЙ ХЛЕБ|Светлую буханку выпекают из распространённого злака
food|1|СЛОЕНОЕ ТЕСТО|При выпечке тонкие пласты становятся воздушными
food|2|ДРОЖЖЕВОЕ ТЕСТО|Живая закваска заставляет массу подниматься
food|1|ПЕСОЧНОЕ ТЕСТО|Рассыпчатая основа подходит для корзиночек и пирогов
food|1|МОЛОЧНЫЙ СУП|Первое блюдо с крупой или лапшой готовят на белой основе
food|1|ЖАРЕНАЯ КУРИЦА|Кусочки птицы покрываются румяной корочкой
food|1|ЗАПЕЧЕННЫЕ ОВОЩИ|Кусочки моркови, перца или кабачка готовят в духовке
food|1|ЯБЛОЧНЫЙ ПИРОГ|Сладкая выпечка наполнена нарезанными осенними плодами
science|1|ХИМИЧЕСКИЙ ЭЛЕМЕНТ|Вещество состоит из атомов одного вида
science|1|МОЛЕКУЛА ВОДЫ|Два атома водорода соединены с одним атомом кислорода
science|1|КИСЛОРОД|Газ нужен людям и животным для дыхания
science|1|ВОДОРОД|Самый лёгкий газ и первый элемент таблицы
science|1|АЗОТ|Этот газ составляет большую часть земного воздуха
science|1|УГЛЕКИСЛЫЙ ГАЗ|Его выдыхают люди и поглощают растения
science|1|ПОВАРЕННАЯ СОЛЬ|Белые кристаллы придают пище привычный вкус
science|1|ПИЩЕВАЯ СОДА|Белый порошок помогает выпечке стать пышной
science|1|ХИМИЧЕСКАЯ РЕАКЦИЯ|Исходные вещества превращаются в новые
science|1|ФИЗИЧЕСКОЕ ЯВЛЕНИЕ|Форма или состояние меняется без создания нового вещества
science|1|ТВЕРДОЕ ТЕЛО|Сохраняет собственные форму и объём
science|1|ЖИДКОЕ СОСТОЯНИЕ|Вещество сохраняет объём, но принимает форму сосуда
science|1|СИЛА ТРЕНИЯ|Возникает при соприкосновении и мешает скольжению
science|1|УПРУГАЯ СИЛА|Возвращает растянутую пружину к прежней форме
science|1|ДАВЛЕНИЕ ВОЗДУХА|Атмосфера действует на окружающие поверхности
science|1|СКОРОСТЬ СВЕТА|Предельная быстрота движения во Вселенной
science|1|СВЕТОВОЙ ЛУЧ|Узкая направленная полоса видимого излучения
science|1|ОТРАЖЕНИЕ СВЕТА|Зеркало возвращает падающее излучение
science|1|ПРОВОДНИК ТОКА|Материал свободно пропускает электрический заряд
science|1|ИЗОЛЯТОР|Материал почти не пропускает электрический заряд
science|1|ЦЕНТР ТЯЖЕСТИ|Условная точка приложения веса предмета
science|1|РЫЧАГ|Простой механизм вращается вокруг точки опоры
science|2|НАКЛОННАЯ ПЛОСКОСТЬ|Пологая поверхность помогает поднять груз
science|1|ПЛОТНОСТЬ ВЕЩЕСТВА|Показывает массу единицы объёма материала
science|1|КЛЕТКА|Мельчайшая живая единица организма
science|1|ЦИТОПЛАЗМА|Полужидкая среда заполняет живую единицу
science|1|ЯДРО КЛЕТКИ|Часть живой единицы хранит наследственную информацию
science|1|КРОВЕНОСНАЯ СИСТЕМА|Сердце и сосуды переносят кислород по организму
science|1|НЕРВНАЯ СИСТЕМА|Мозг управляет организмом через сеть импульсов
science|1|ДЫХАТЕЛЬНАЯ СИСТЕМА|Лёгкие и пути обеспечивают обмен газов
science|1|НАТУРАЛЬНОЕ ЧИСЛО|Используется при обычном счёте предметов
science|1|ЦЕЛОЕ ЧИСЛО|Не содержит дробной части
science|1|ДРОБНОЕ ЧИСЛО|Показывает часть единицы или целого
science|1|ПРОСТОЕ ЧИСЛО|Делится без остатка только на себя и единицу
science|1|ЧЕТНОЕ ЧИСЛО|Делится на два без остатка
science|1|НЕЧЕТНОЕ ЧИСЛО|При делении на два оставляет единицу
science|1|ЧИСЛИТЕЛЬ|Верхняя часть дроби показывает количество долей
science|1|ЗНАМЕНАТЕЛЬ|Нижняя часть дроби показывает размер долей
science|1|УРАВНЕНИЕ|Равенство содержит неизвестную величину
science|1|КООРДИНАТНАЯ ОСЬ|Прямая со шкалой показывает положение точек
history|1|ДРЕВНЯЯ РУСЬ|Раннее государство восточных славян
history|1|КИЕВСКАЯ РУСЬ|Средневековое государство с главным городом на Днепре
history|1|КРЕЩЕНИЕ РУСИ|Князь Владимир принял христианство в 988 году
history|1|ЛЕДОВОЕ ПОБОИЩЕ|Войско Александра Невского победило на Чудском озере
history|1|КУЛИКОВСКАЯ БИТВА|Войско Дмитрия Донского сражалось с Мамаем
history|1|СМУТНОЕ ВРЕМЯ|Период кризиса России в начале семнадцатого века
history|2|ЗЕМСКИЙ СОБОР|Собрание сословий решало важные вопросы государства
history|1|ПЕТРОВСКИЕ РЕФОРМЫ|Преобразования первого российского императора изменили страну
history|1|СЕВЕРНАЯ ВОЙНА|Россия получила выход к Балтийскому побережью
history|1|ПОЛТАВСКАЯ БИТВА|Русская армия победила шведов в 1709 году
history|1|БОРОДИНСКАЯ БИТВА|Главное сражение кампании 1812 года под Москвой
history|1|ГРАЖДАНСКАЯ ВОЙНА|Вооружённая борьба внутри одной страны
history|1|ВЕЛИКАЯ ПОБЕДА|Празднуется ежегодно девятого мая
history|1|БЛОКАДА ЛЕНИНГРАДА|Город почти девятьсот дней находился в окружении
history|1|СТАЛИНГРАДСКАЯ БИТВА|Переломное сражение завершилось окружением армии противника
history|1|КУРСКАЯ БИТВА|Крупное танковое сражение произошло летом 1943 года
history|1|БЕРЛИНСКАЯ ОПЕРАЦИЯ|Наступление завершилось взятием столицы Германии
history|1|ХОЛОДНАЯ ВОЙНА|Длительное противостояние СССР и США без прямого столкновения
history|1|КОСМИЧЕСКАЯ ГОНКА|СССР и США соревновались в освоении внеземного пространства
history|1|ДРЕВНИЙ ЕГИПЕТ|Цивилизация фараонов возникла на берегах Нила
history|1|ДРЕВНЯЯ ГРЕЦИЯ|Цивилизация Афин, Спарты и первых Олимпиад
history|1|РИМСКАЯ ИМПЕРИЯ|Античное государство управлялось из города на Тибре
history|1|ОЛИМПИЙСКИЕ ИГРЫ|Античные состязания проводили каждые четыре года
history|2|ВЕЛИКАЯ ХАРТИЯ|Английский документ 1215 года ограничил власть короля
history|1|ВОЗРОЖДЕНИЕ|Европейская эпоха интереса к античному искусству и науке
history|1|ВЕЛИКИЕ ОТКРЫТИЯ|Мореплаватели нашли новые пути и материки
history|1|ОТМЕНА РАБСТВА|Закон прекратил владение людьми
history|2|ОБЪЕДИНЕНИЕ ГЕРМАНИИ|Разрозненные государства образовали одну страну в 1871 году
history|2|ЛИГА НАЦИЙ|Международная организация появилась после Первой мировой
history|1|ПЕРВОБЫТНЫЙ ЧЕЛОВЕК|Древний предок использовал каменные орудия
history|1|ПЕЩЕРНАЯ ЖИВОПИСЬ|Древние люди рисовали животных на стенах жилищ
history|1|ПИСЬМЕННОСТЬ|Знаки позволили сохранять речь и знания
history|1|ПИРАМИДА ХЕОПСА|Огромная египетская гробница сохранилась в Гизе
history|2|АФИНСКАЯ ДЕМОКРАТИЯ|Свободные граждане участвовали в управлении полисом
history|2|СПАРТАНСКОЕ ВОЙСКО|Армия греческого полиса славилась строгой подготовкой
history|2|ВИЗАНТИЙСКАЯ ИМПЕРИЯ|Средневековое государство со столицей Константинополь
history|1|МОРСКОЙ ПУТЬ|Корабли связывали далёкие страны для торговли
history|1|ИЗБИРАТЕЛЬНОЕ ПРАВО|Граждане получают возможность голосовать
history|1|ПРАВА ЧЕЛОВЕКА|Основные свободы принадлежат каждому от рождения
history|1|ПОЛЕТ ГАГАРИНА|Первый космонавт отправился к звёздам в 1961 году
general|1|НОМЕР ТЕЛЕФОНА|Набор цифр позволяет связаться с абонентом
general|1|ПАССАЖИРСКИЙ БИЛЕТ|Документ подтверждает оплату поездки
general|1|РАСПИСАНИЕ ПОЕЗДОВ|Таблица показывает время отправления и прибытия
general|1|БАГАЖНАЯ ЛЕНТА|Движущаяся поверхность выдаёт чемоданы в аэропорту
general|1|ЗАЛ ОЖИДАНИЯ|Помещение для пассажиров перед отправлением
general|1|ГОСТИНИЧНЫЙ НОМЕР|Отдельная комната для временного проживания
general|1|ВХОДНАЯ ДВЕРЬ|Через неё попадают внутрь дома
general|1|МУСОРНЫЙ КОНТЕЙНЕР|Большая ёмкость для бытовых отходов
general|1|ДЕТСКАЯ ПЛОЩАДКА|Место во дворе с качелями и горками
general|1|ПЕШЕХОДНАЯ ДОРОЖКА|Выделенный путь для людей без транспорта
general|1|ПАРКОВОЧНОЕ МЕСТО|Размеченный участок для одного автомобиля
general|1|ПРОДУКТОВАЯ КОРЗИНА|В неё складывают покупки в магазине
general|1|ЦЕННИК|Небольшая табличка показывает стоимость товара
general|1|КАССОВЫЙ ЧЕК|Документ подтверждает покупку и оплату
